fb_1990_name,fb_1990,fb_1990_share,fb_1990_hdi,fb_2019_name,fb_2019,fb_2019_share,fb_2019_hdi,disp_1990_name,disp_1990,disp_1990_share,disp_1990_hdi,disp_2019_name,disp_2019,disp_2019_share,disp_2019_hdi
United States of America,23251026,9.222194789551839,Very High,United States of America,50661149,15.39548775416858,Very High,Russian Federation,12662893,0.0858317563656769,High,India,17513533,0.012817114640622563,Medium
Russian Federation,11524948,7.811852543199215,High,Germany,13132146,15.723911208783786,Very High,Afghanistan,6823350,0.5497245153761895,Low,Mexico,11796491,0.09246672220344075,High
India,7594801,0.8696890058803488,Low,Saudi Arabia,13122338,38.292680677734396,Very High,India,6623177,0.007584272742497915,Low,China,10734807,0.007364928343049549,High
Ukraine,6892920,13.393906178027928,High,Russian Federation,11640559,7.979967760284725,Very High,Ukraine,5545760,0.10776186162883099,High,Russian Federation,10575205,0.07249634227909658,Very High
Pakistan,6208204,5.767137853038518,Low,United Kingdom,9552110,14.144951385582136,Very High,Bangladesh,5451831,0.052842179322450764,Low,Syrian Arab Republic,8274868,0.4847570332630644,Low
Germany,5936181,7.509021936199952,Very High,United Arab Emirates,8587256,87.88936607219526,Very High,Mexico,4395365,0.05236122235705954,Medium,Bangladesh,7835380,0.04805620661010228,Medium
France,5897267,10.406908278948068,High,France,8334875,12.797343480384257,Very High,China,4231648,0.0035341419841087777,Low,Pakistan,6509984,0.030060141024058153,Medium
Saudi Arabia,4998445,30.79038560631424,Medium,Canada,7960657,21.278893905321603,Very High,United Kingdom,3794333,0.06641066673835729,High,Philippines,5996161,0.05546012516207615,High
Canada,4333318,15.733879702711405,Very High,Australia,7549270,29.953619377985284,Very High,Italy,3351006,0.058739870589513056,High,Ukraine,5978783,0.13590108187915717,High
Iran (Islamic Republic of),4291601,7.613782205749234,Medium,Italy,6273722,10.361212599654088,Very High,Pakistan,3343328,0.031057989498933285,Low,Afghanistan,5120959,0.13461416631840897,Low
Australia,3955213,23.320010492555184,Very High,Spain,6104203,13.060813180609633,Very High,Kazakhstan,2971639,0.18137570162684838,Medium,United Kingdom,4729088,0.0700292604022984,Very High
United Kingdom,3650286,6.388947070425586,High,Turkey,5876829,7.044056238303389,Very High,Germany,2929448,0.037056298136726416,Very High,Poland,4571556,0.1206604727942802,Very High
Kazakhstan,3619200,22.089996104099107,Medium,India,5154737,0.377244586065295,Medium,Turkey,2640033,0.04896043823495375,Medium,Indonesia,4533048,0.016750257684447614,High
"China, Hong Kong SAR",2218473,38.73074394310832,High,Ukraine,4964293,11.284115671452314,High,Mozambique,2222369,0.17111873668506106,Low,Germany,4014770,0.048071264973515285,Very High
C̫te d'Ivoire,1816426,15.232240969864929,Low,South Africa,4224256,7.213765024137496,High,Philippines,2033684,0.03285691482177282,Medium,Kazakhstan,4005636,0.21592064049843712,Very High
Uzbekistan,1653000,8.103597408966646,Medium,Kazakhstan,3705556,19.974506543351087,Very High,Portugal,1873457,0.18932673926901528,High,State of Palestine,3854370,0.7737492522212542,Medium
Argentina,1649919,5.058207342786799,High,Thailand,3635085,5.220904293482244,High,State of Palestine,1813063,0.8627692550748389,Medium,Myanmar,3699504,0.06845175779927327,Medium
Israel,1632704,36.70356197001452,High,Malaysia,3430380,10.736788554111035,Very High,Belarus,1767606,0.17412891998076274,Medium,Romania,3650296,0.1885039766207923,Very High
Italy,1428219,2.5035287681813685,High,Jordan,3346703,33.130116592326004,High,Morocco,1748251,0.07047278758302643,Low,Egypt,3547877,0.03534161871998479,Medium
Sudan,1402896,5.471467807229215,Low,Pakistan,3257978,1.5043858500002296,Medium,United States of America,1739233,0.006898424830980197,Very High,Turkey,3452507,0.04138227175086449,Very High
